,news,category,data_information,normalized_text,preprocessed,label
0,full_texts/fake/1.txt,politica,full_texts/fake-meta-information/1-meta.txt,size_normalized_texts/fake/1.txt,preprocessed/fake/1.txt,fake
1,full_texts/fake/10.txt,politica,full_texts/fake-meta-information/10-meta.txt,size_normalized_texts/fake/10.txt,preprocessed/fake/10.txt,fake
2,full_texts/fake/100.txt,politica,full_texts/fake-meta-information/100-meta.txt,size_normalized_texts/fake/100.txt,preprocessed/fake/100.txt,fake
3,full_texts/fake/1000.txt,politica,full_texts/fake-meta-information/1000-meta.txt,size_normalized_texts/fake/1000.txt,preprocessed/fake/1000.txt,fake
4,full_texts/fake/1001.txt,politica,full_texts/fake-meta-information/1001-meta.txt,size_normalized_texts/fake/1001.txt,preprocessed/fake/1001.txt,fake
5,full_texts/fake/1002.txt,tv_celebridades,full_texts/fake-meta-information/1002-meta.txt,size_normalized_texts/fake/1002.txt,preprocessed/fake/1002.txt,fake
6,full_texts/fake/1003.txt,sociedade_cotidiano,full_texts/fake-meta-information/1003-meta.txt,size_normalized_texts/fake/1003.txt,preprocessed/fake/1003.txt,fake
7,full_texts/fake/1004.txt,politica,full_texts/fake-meta-information/1004-meta.txt,size_normalized_texts/fake/1004.txt,preprocessed/fake/1004.txt,fake
8,full_texts/fake/1005.txt,politica,full_texts/fake-meta-information/1005-meta.txt,size_normalized_texts/fake/1005.txt,preprocessed/fake/1005.txt,fake
9,full_texts/fake/1006.txt,politica,full_texts/fake-meta-information/1006-meta.txt,size_normalized_texts/fake/1006.txt,preprocessed/fake/1006.txt,fake
10,full_texts/fake/1007.txt,sociedade_cotidiano,full_texts/fake-meta-information/1007-meta.txt,size_normalized_texts/fake/1007.txt,preprocessed/fake/1007.txt,fake
11,full_texts/fake/1008.txt,politica,full_texts/fake-meta-information/1008-meta.txt,size_normalized_texts/fake/1008.txt,preprocessed/fake/1008.txt,fake
12,full_texts/fake/1009.txt,tv_celebridades,full_texts/fake-meta-information/1009-meta.txt,size_normalized_texts/fake/1009.txt,preprocessed/fake/1009.txt,fake
13,full_texts/fake/101.txt,politica,full_texts/fake-meta-information/101-meta.txt,size_normalized_texts/fake/101.txt,preprocessed/fake/101.txt,fake
14,full_texts/fake/1010.txt,politica,full_texts/fake-meta-information/1010-meta.txt,size_normalized_texts/fake/1010.txt,preprocessed/fake/1010.txt,fake
15,full_texts/fake/1011.txt,tv_celebridades,full_texts/fake-meta-information/1011-meta.txt,size_normalized_texts/fake/1011.txt,preprocessed/fake/1011.txt,fake
16,full_texts/fake/1012.txt,politica,full_texts/fake-meta-information/1012-meta.txt,size_normalized_texts/fake/1012.txt,preprocessed/fake/1012.txt,fake
17,full_texts/fake/1013.txt,politica,full_texts/fake-meta-information/1013-meta.txt,size_normalized_texts/fake/1013.txt,preprocessed/fake/1013.txt,fake
18,full_texts/fake/1014.txt,tv_celebridades,full_texts/fake-meta-information/1014-meta.txt,size_normalized_texts/fake/1014.txt,preprocessed/fake/1014.txt,fake
19,full_texts/fake/1015.txt,politica,full_texts/fake-meta-information/1015-meta.txt,size_normalized_texts/fake/1015.txt,preprocessed/fake/1015.txt,fake
20,full_texts/fake/1016.txt,tv_celebridades,full_texts/fake-meta-information/1016-meta.txt,size_normalized_texts/fake/1016.txt,preprocessed/fake/1016.txt,fake
21,full_texts/fake/1017.txt,politica,full_texts/fake-meta-information/1017-meta.txt,size_normalized_texts/fake/1017.txt,preprocessed/fake/1017.txt,fake
22,full_texts/fake/1018.txt,sociedade_cotidiano,full_texts/fake-meta-information/1018-meta.txt,size_normalized_texts/fake/1018.txt,preprocessed/fake/1018.txt,fake
23,full_texts/fake/1019.txt,politica,full_texts/fake-meta-information/1019-meta.txt,size_normalized_texts/fake/1019.txt,preprocessed/fake/1019.txt,fake
24,full_texts/fake/102.txt,politica,full_texts/fake-meta-information/102-meta.txt,size_normalized_texts/fake/102.txt,preprocessed/fake/102.txt,fake
25,full_texts/fake/1020.txt,politica,full_texts/fake-meta-information/1020-meta.txt,size_normalized_texts/fake/1020.txt,preprocessed/fake/1020.txt,fake
26,full_texts/fake/1021.txt,sociedade_cotidiano,full_texts/fake-meta-information/1021-meta.txt,size_normalized_texts/fake/1021.txt,preprocessed/fake/1021.txt,fake
27,full_texts/fake/1022.txt,politica,full_texts/fake-meta-information/1022-meta.txt,size_normalized_texts/fake/1022.txt,preprocessed/fake/1022.txt,fake
28,full_texts/fake/1023.txt,sociedade_cotidiano,full_texts/fake-meta-information/1023-meta.txt,size_normalized_texts/fake/1023.txt,preprocessed/fake/1023.txt,fake
29,full_texts/fake/1024.txt,tv_celebridades,full_texts/fake-meta-information/1024-meta.txt,size_normalized_texts/fake/1024.txt,preprocessed/fake/1024.txt,fake
30,full_texts/fake/1025.txt,politica,full_texts/fake-meta-information/1025-meta.txt,size_normalized_texts/fake/1025.txt,preprocessed/fake/1025.txt,fake
31,full_texts/fake/1026.txt,politica,full_texts/fake-meta-information/1026-meta.txt,size_normalized_texts/fake/1026.txt,preprocessed/fake/1026.txt,fake
32,full_texts/fake/1027.txt,sociedade_cotidiano,full_texts/fake-meta-information/1027-meta.txt,size_normalized_texts/fake/1027.txt,preprocessed/fake/1027.txt,fake
33,full_texts/fake/1028.txt,tv_celebridades,full_texts/fake-meta-information/1028-meta.txt,size_normalized_texts/fake/1028.txt,preprocessed/fake/1028.txt,fake
34,full_texts/fake/1029.txt,politica,full_texts/fake-meta-information/1029-meta.txt,size_normalized_texts/fake/1029.txt,preprocessed/fake/1029.txt,fake
35,full_texts/fake/103.txt,politica,full_texts/fake-meta-information/103-meta.txt,size_normalized_texts/fake/103.txt,preprocessed/fake/103.txt,fake
36,full_texts/fake/1030.txt,tv_celebridades,full_texts/fake-meta-information/1030-meta.txt,size_normalized_texts/fake/1030.txt,preprocessed/fake/1030.txt,fake
37,full_texts/fake/1031.txt,ciencia_tecnologia,full_texts/fake-meta-information/1031-meta.txt,size_normalized_texts/fake/1031.txt,preprocessed/fake/1031.txt,fake
38,full_texts/fake/1032.txt,politica,full_texts/fake-meta-information/1032-meta.txt,size_normalized_texts/fake/1032.txt,preprocessed/fake/1032.txt,fake
39,full_texts/fake/1033.txt,tv_celebridades,full_texts/fake-meta-information/1033-meta.txt,size_normalized_texts/fake/1033.txt,preprocessed/fake/1033.txt,fake
40,full_texts/fake/1034.txt,tv_celebridades,full_texts/fake-meta-information/1034-meta.txt,size_normalized_texts/fake/1034.txt,preprocessed/fake/1034.txt,fake
41,full_texts/fake/1035.txt,politica,full_texts/fake-meta-information/1035-meta.txt,size_normalized_texts/fake/1035.txt,preprocessed/fake/1035.txt,fake
42,full_texts/fake/1036.txt,politica,full_texts/fake-meta-information/1036-meta.txt,size_normalized_texts/fake/1036.txt,preprocessed/fake/1036.txt,fake
43,full_texts/fake/1037.txt,sociedade_cotidiano,full_texts/fake-meta-information/1037-meta.txt,size_normalized_texts/fake/1037.txt,preprocessed/fake/1037.txt,fake
44,full_texts/fake/1038.txt,politica,full_texts/fake-meta-information/1038-meta.txt,size_normalized_texts/fake/1038.txt,preprocessed/fake/1038.txt,fake
45,full_texts/fake/1039.txt,politica,full_texts/fake-meta-information/1039-meta.txt,size_normalized_texts/fake/1039.txt,preprocessed/fake/1039.txt,fake
46,full_texts/fake/104.txt,politica,full_texts/fake-meta-information/104-meta.txt,size_normalized_texts/fake/104.txt,preprocessed/fake/104.txt,fake
47,full_texts/fake/1040.txt,politica,full_texts/fake-meta-information/1040-meta.txt,size_normalized_texts/fake/1040.txt,preprocessed/fake/1040.txt,fake
48,full_texts/fake/1041.txt,sociedade_cotidiano,full_texts/fake-meta-information/1041-meta.txt,size_normalized_texts/fake/1041.txt,preprocessed/fake/1041.txt,fake
49,full_texts/fake/1042.txt,politica,full_texts/fake-meta-information/1042-meta.txt,size_normalized_texts/fake/1042.txt,preprocessed/fake/1042.txt,fake
50,full_texts/fake/1043.txt,politica,full_texts/fake-meta-information/1043-meta.txt,size_normalized_texts/fake/1043.txt,preprocessed/fake/1043.txt,fake
51,full_texts/fake/1044.txt,tv_celebridades,full_texts/fake-meta-information/1044-meta.txt,size_normalized_texts/fake/1044.txt,preprocessed/fake/1044.txt,fake
52,full_texts/fake/1045.txt,politica,full_texts/fake-meta-information/1045-meta.txt,size_normalized_texts/fake/1045.txt,preprocessed/fake/1045.txt,fake
53,full_texts/fake/1046.txt,sociedade_cotidiano,full_texts/fake-meta-information/1046-meta.txt,size_normalized_texts/fake/1046.txt,preprocessed/fake/1046.txt,fake
54,full_texts/fake/1047.txt,politica,full_texts/fake-meta-information/1047-meta.txt,size_normalized_texts/fake/1047.txt,preprocessed/fake/1047.txt,fake
55,full_texts/fake/1048.txt,tv_celebridades,full_texts/fake-meta-information/1048-meta.txt,size_normalized_texts/fake/1048.txt,preprocessed/fake/1048.txt,fake
56,full_texts/fake/1049.txt,politica,full_texts/fake-meta-information/1049-meta.txt,size_normalized_texts/fake/1049.txt,preprocessed/fake/1049.txt,fake
57,full_texts/fake/105.txt,politica,full_texts/fake-meta-information/105-meta.txt,size_normalized_texts/fake/105.txt,preprocessed/fake/105.txt,fake
58,full_texts/fake/1050.txt,politica,full_texts/fake-meta-information/1050-meta.txt,size_normalized_texts/fake/1050.txt,preprocessed/fake/1050.txt,fake
59,full_texts/fake/1051.txt,sociedade_cotidiano,full_texts/fake-meta-information/1051-meta.txt,size_normalized_texts/fake/1051.txt,preprocessed/fake/1051.txt,fake
60,full_texts/fake/1052.txt,politica,full_texts/fake-meta-information/1052-meta.txt,size_normalized_texts/fake/1052.txt,preprocessed/fake/1052.txt,fake
61,full_texts/fake/1053.txt,politica,full_texts/fake-meta-information/1053-meta.txt,size_normalized_texts/fake/1053.txt,preprocessed/fake/1053.txt,fake
62,full_texts/fake/1054.txt,politica,full_texts/fake-meta-information/1054-meta.txt,size_normalized_texts/fake/1054.txt,preprocessed/fake/1054.txt,fake
63,full_texts/fake/1055.txt,tv_celebridades,full_texts/fake-meta-information/1055-meta.txt,size_normalized_texts/fake/1055.txt,preprocessed/fake/1055.txt,fake
64,full_texts/fake/1056.txt,sociedade_cotidiano,full_texts/fake-meta-information/1056-meta.txt,size_normalized_texts/fake/1056.txt,preprocessed/fake/1056.txt,fake
65,full_texts/fake/1057.txt,politica,full_texts/fake-meta-information/1057-meta.txt,size_normalized_texts/fake/1057.txt,preprocessed/fake/1057.txt,fake
66,full_texts/fake/1058.txt,politica,full_texts/fake-meta-information/1058-meta.txt,size_normalized_texts/fake/1058.txt,preprocessed/fake/1058.txt,fake
67,full_texts/fake/1059.txt,sociedade_cotidiano,full_texts/fake-meta-information/1059-meta.txt,size_normalized_texts/fake/1059.txt,preprocessed/fake/1059.txt,fake
68,full_texts/fake/106.txt,politica,full_texts/fake-meta-information/106-meta.txt,size_normalized_texts/fake/106.txt,preprocessed/fake/106.txt,fake
69,full_texts/fake/1060.txt,sociedade_cotidiano,full_texts/fake-meta-information/1060-meta.txt,size_normalized_texts/fake/1060.txt,preprocessed/fake/1060.txt,fake
